"code","genus","specificEpithet","commonName","createdBy","_schemaVersion"
"ACER","Acropora","cervicornis","Staghorn Coral","cforkish","0.0.1"
"APAL","Acropora","palmata","Elkhorn Coral","cforkish","0.0.1"
"APRO","Acropora","prolifera","Fused Staghorn Coral","cforkish","0.0.1"
"AAGA","Agaricia","agaricites","Lettuce Coral","cforkish","0.0.1"
"AFRA","Agaricia","fragilis","Fragile Saucer Coral","cforkish","0.0.1"
"AHUM","Agaricia","humilis","Low-relief Lettuce Coral","cforkish","0.0.1"
"ALAM","Agaricia","lamarcki","Lamarck's Sheet Coral","cforkish","0.0.1"
"ATEN","Agaricia","tenuifolia","Thin-leaf Lettuce Coral","cforkish","0.0.1"
"CARB","Cladocora","arbuscula","Ivory Tube Coral","cforkish","0.0.1"
"CNAT","Colpophyllia","natans","Boulder Brain Coral","cforkish","0.0.1"
"DCYL","Dendrogyra","cylindrus","Pillar Coral","cforkish","0.0.1"
"DSTO","Dichocoenia","stokesii","Pineapple Coral","cforkish","0.0.1"
"DLAB","Diploria","labyrinthiformis","Grooved Brain Coral","cforkish","0.0.1"
"EFAS","Eusmilia","fastigiata","Smooth Flower Coral","cforkish","0.0.1"
"FFRA","Favia","fragum","Golf Ball Coral","cforkish","0.0.1"
"HCUC","Helioseris","cucullata","Sunray Lettuce Coral","cforkish","0.0.1"
"IRIG","Isophyllastrea","rigida","Rough Star Coral","cforkish","0.0.1"
"ISIN","Isophyllia","sinuosa","Sinuous Cactus Coral","cforkish","0.0.1"
"MAUR","Madracis","auretenra","Yellow Finger Coral","cforkish","0.0.1"
"MDEC","Madracis","decactis","Ten-ray Star Coral","cforkish","0.0.1"
"MMIR","Madracis","mirabilis","Yellow Pencil Coral","cforkish","0.0.1"
"MPHA","Madracis","pharensis","Encrusting Star Coral","cforkish","0.0.1"
"MSEN","Madracis","senaria","Six-ray Star Coral","cforkish","0.0.1"
"MARE","Manicina","areolata","Rose Coral","cforkish","0.0.1"
"MMEA","Meandrina","meandrites","Maze Coral","cforkish","0.0.1"
"MCAV","Montastraea","cavernosa","Great Star Coral","cforkish","0.0.1"
"MANG","Mussa","angulosa","Spiny Flower Coral","cforkish","0.0.1"
"MYAL","Mycetophyllia","aliciae","Knobby Cactus Coral","cforkish","0.0.1"
"MYDA","Mycetophyllia","danaana","Lowridge Cactus Coral","cforkish","0.0.1"
"MYFE","Mycetophyllia","ferox","Rough Cactus Coral","cforkish","0.0.1"
"MYLA","Mycetophyllia","lamarckiana","Ridged Cactus Coral","cforkish","0.0.1"
"MYRE","Mycetophyllia","reesi","Ridgeless Cactus Coral","cforkish","0.0.1"
"ODIF","Oculina","diffusa","Diffuse Ivory Bush Coral","cforkish","0.0.1"
"OROB","Oculina","robusta","Robust Ivory Tree Coral","cforkish","0.0.1"
"OANN","Orbicella","annularis","Lobed Star Coral","cforkish","0.0.1"
"OFAV","Orbicella","faveolata","Mountainous Star Coral","cforkish","0.0.1"
"OFRA","Orbicella","franksi","Boulder Star Coral","cforkish","0.0.1"
"PAME","Phyllangia","americana","Hidden Cup Coral","cforkish","0.0.1"
"PAST","Porites","astreoides","Mustard Hill Coral","cforkish","0.0.1"
"PDIV","Porites","divaricata","Thin Finger Coral","cforkish","0.0.1"
"PFUR","Porites","furcata","Branched Finger Coral","cforkish","0.0.1"
"PPOR","Porites","porites","Club-tip Finger Coral","cforkish","0.0.1"
"PCLI","Pseudodiploria","clivosa","Knobby Brain Coral","cforkish","0.0.1"
"PSTR","Pseudodiploria","strigosa","Symmetrical Brain Coral","cforkish","0.0.1"
"SCUB","Scolymia","cubensis","Artichoke Coral","cforkish","0.0.1"
"SLAC","Scolymia","lacera","Solitary Disk Coral","cforkish","0.0.1"
"SRAD","Siderastrea","radians","Lesser Starlet Coral","cforkish","0.0.1"
"SSID","Siderastrea","siderea","Massive Starlet Coral","cforkish","0.0.1"
"SBOU","Solenastrea","bournoni","Smooth Star Coral","cforkish","0.0.1"
"SHYA","Solenastrea","hyades","Knobby Star Coral","cforkish","0.0.1"
"SINT","Stephanocoenia","intersepta","Blushing Star Coral","cforkish","0.0.1"
"TCOC","Tubastraea","coccinea","Orange Cup Coral","cforkish","0.0.1"
"AGLO","Acropora","globiceps","Staghorn Coral (Globular Staghorn)","cforkish","0.0.1"
"AJAC","Acropora","jacquelineae","Table Staghorn Coral","cforkish","0.0.1"
"ALOK","Acropora","lokani","Lokani Staghorn Coral","cforkish","0.0.1"
"APHA","Acropora","pharaonis","Pharaoh Staghorn Coral","cforkish","0.0.1"
"ARET","Acropora","retusa","Bottlebrush Staghorn Coral","cforkish","0.0.1"
"ARUD","Acropora","rudis","Knobby Staghorn Coral","cforkish","0.0.1"
"ASPE","Acropora","speciosa","Blue Staghorn Coral","cforkish","0.0.1"
"ASPI","Anacropora","spinosa","Anacropora Coral","cforkish","0.0.1"
"ICRA","Isopora","crateriformis","Crater Coral","cforkish","0.0.1"
"MAUS","Montipora","australiensis","Australian Rice Coral","cforkish","0.0.1"
"PDIF","Pavona","diffluens","Leaf Coral","cforkish","0.0.1"
"PNAP","Porites","napopora","Boulder Coral","cforkish","0.0.1"
"SACU","Seriatopora","aculeata","Needle Coral","cforkish","0.0.1"
"PLOB","Porites","lobata","Lobe Coral","cforkish","0.0.1"
"PCYL","Porites","cylindrica","Finger Coral","cforkish","0.0.1"
"PMEA","Pocillopora","meandrina","Cauliflower Coral","cforkish","0.0.1"
"SPIS","Stylophora","pistillata","Cat's Paw Coral","cforkish","0.0.1"
"MGRI","Montipora","grisea","Gray Rice Coral","cforkish","0.0.1"
"DPAL","Dipsastraea","pallida","Pale Star Coral","cforkish","0.0.1"
"PCOM","Porites","compressa","Finger Coral","cforkish","0.0.1"